Idiom,Meaning
봄 백양 가을 내장,"봄에는 백양산 비자나무 숲의 신록이, 가을에는 내장산의 단풍이 절경이라는 말."
봄 보지가 쇠 저를 녹이고 가을 좆이 쇠판을 뚫는다,"봄에는 여자가, 가을에는 남자가 춘정이 높아짐을 비유적으로 이르는 말."
봄 조개 가을 낙지, 제때를 만나야 제 구실을 하게 됨을 비유적으로 이르는 말.
봄 타다,"봄철에 입맛이 없어지거나 몸이 나른해지고 파리해지다.,봄기운 때문에 마음을 안정하지 못하여 기분이 들뜨다."
봄꽃도 한때,부귀영화란 일시적인 것이어서 그 한때가 지나면 그만임을 비유적으로 이르는 말.
봄내 여름내 사등이뼈가 휘다,일} 년 내내 등골뼈가 휘도록 고된 노동에 시달리다.
봄바람에 말 씹도 터진다,봄바람을 쐬면 살갗이 잘 틈을 비유적으로 이르는 말.
봄볕은 며느리를 쬐이고 가을볕은 딸을 쬐인다, 시어머니는 며느리보다 제 딸을 더 아낌을 비유적으로 이르는 말.
봄비 잦은 것, 아무 소용 없고 도리어 해롭기만 함을 비유적으로 이르는 말.
봄사돈은 꿈에도 보기 무섭다,대접하기 어려운 사돈을 춘궁기에 맞게 되는 것을 꺼려함을 비유적으로 이르는 말.
봄에 씨 뿌려야 가을에 거둔다,어떤 일이든지 제때에 대책을 세우고 공을 들여야 그만큼 성과를 거두게 됨을 비유적으로 이르는 말.
봄에 하루 놀면 겨울에 열흘 굶는다, 봄철 농사가 매우 중요함을 비유적으로 이르는 말.
봄에는 생말가죽이 마른다,봄철에는 일반적으로 날씨가 매우 메마름을 비유적으로 이르는 말.
봄추위와 늙은이 건강,당장은 대단한 것 같아도 이미 기울어진 기세라 오래가지 못함을 비유적으로 이르는 말.
봉 가는 데 황 간다, 사람의 긴밀한 관계를 비유적으로 이르는 말.
봉사 기름값 물어 주나 중이 횟값 물어 주나 일반, 이해관계가 없는 지출임은 마찬가지임을 비유적으로 이르는 말.
봉사 눈 뜬 것 같다,어둡고 답답하다가 시원히 볼 수 있게 되거나 막혔던 일이 시원스럽게 해결되는 경우를 비유적으로 이르는 말.
봉사 등불 쳐다보듯,"서로 아무 관계 없이 지냄을 비유적으로 이르는 말.,아무리 보아도 그 진미를 알아볼 능력이 없는 경우를 비유적으로 이르는 말."
봉홧불에 김을 구워 먹는다, 일을 무성의하게 닥치는 대로 하여 좋은 성과를 거두지 못하는 경우를 비유적으로 이르는 말.
부과 삼 년에 말라 죽는다,애를 태우고 고생하며 오래 지내기가 어려움을 비유적으로 이르는 말.
부뚜막에 개를 올려놓은 듯, 어떤 자리에 나타난 인물이 염치없이 구는 모양을 비유적으로 이르는 말.
부뚜막의 약바리,밖에 나가서는 그렇지 못하면서 집 안에서만 약삭빠르게 구는 사람을 비유적으로 이르는 말.
부룩 박다,곡식이나 채소 따위를 심은 밭의 사이사이에 다른 농작물을 심다.
부르는 게 값, 값이 일정하지 아니하고 그때그때 달라짐을 이르는 말.
부모 상고에는 먼 산이 안 보이더니 자식이 죽으니 앞뒤가 다 안 보인다,부모가 돌아가셨을 때보다도 자식이 죽었을 때에 슬픔이 더 큼을 비유적으로 이르는 말.
부모 속에는 부처가 들어 있고 자식 속에는 앙칼이 들어 있다,부모는 누구나 다 제 자식을 한없이 사랑하지만 자식들 가운데는 부모의 은덕을 저버리는 경우가 없지 아니함을 비유적으로 이르는 말.
부모는 자식이 한 자만 하면 두 자로 보이고 두 자만 하면 석 자로 보인다, 부모 된 사람은 제 자식이 좋게만 보임을 비유적으로 이르는 말.
부스럼이 살 될까,이미 그릇된 일이 다시 잘될 리 없다는 말.
부아가 상투 끝까지 치밀어 오르다,부아가 몹시 치밀다.
부자 하나면 세 동네가 망한다, 무슨 큰일을 하나 이루려면 많은 희생이 있게 됨을 비유적으로 이르는 말.
부자가 더 무섭다,부자가 더 인색하게 굶을 비유적으로 이르는 말.
부자간에도 돈을 헤여 주고받는다,돈거래를 할 때에는 정확히 해야 함을 비유적으로 이르는 말.
부자네 곡식은 정한 게 없다,남의 곡식을 마음대로 빼앗는 부자의 곡식이 얼마나 되는지 한도를 정할 수 없는 것처럼 부자의 재산은 어느 것이나 다 착취와 사기 협잡으로 긁어모은 것임을 비유적으로 이르는 말.
부조 안 한 나그네 제상 친다,도와주지도 아니하는 사람이 오히려 방해를 놓아서 일을 그르치게 만드는 경우를 비유적으로 이르는 말.
부지런한 것도 반복은 된다,부지런한 것이 행복한 생활을 이루는 중요한 요인이라는 말.
북 치듯,무엇을 함부로 때리거나 두드리다.
북과 아이는 칠수록 소리가 커진다, 잘 달래야 함을 비유적으로 이르는 말.
북어 한 마리 주고 제상 엎는다," 보잘것없는 것을 주고는 큰 손해를 입히는 경우를 비유적으로 이르는 말.,보잘것없는 것을 주고는 대단한 것이나 준 것처럼 큰소리치는 일을 비유적으로 이르는 말."
북은 칠수록 맛이 난다,무슨 일이나 하면 할수록 신이 나고 잘된다는 것을 비유적으로 이르는 말.
북은 칠수록 소리가 난다, 다투면 다툴수록 그만큼 손해만 커짐을 비유적으로 이르는 말.
북을 돋구다,"기운이나 기세 또는 어떤 마음이 더욱 세차게 일어나도록 자극하다.,이미 진행된 행동이나 말을 덧보태어 정도가 더하게 하다."
북통 지다,"경을 읽는 동안에 병자가 죽었을 때, 경쟁이가 북을 지고 쫓겨나다."
북통 지우다,"경을 읽는 동안에 병자가 죽었을 때, 경쟁이에게 북을 지워 쫓아내다."
분다 분다 하니까 하루아침에 왕겨 석 섬을 분다, 잘한다 잘한다 하니까 우쭐해서 턱없는 정도에까지 이르게 됨을 비유적으로 이르는 말.
불 가져오라는데 물 가져온다,시키는 일과 전혀 딴 일을 함을 비유적으로 이르는 말.
불 달린 범 같다,몹시 기승스럽게 달려드는 모양을 비유적으로 이르는 말.
불 보듯 뻔하다,앞으로 일어날 일이 의심할 여지가 없이 아주 명백하다.
불 안 때도 절로 익는 솥, 전혀 현실 가능성이 없는 것을 비유적으로 이르는 말.
불 안 땐 굴뚝에 연기 날까,원인이 없으면 결과가 있을 수 없음을 비유적으로 이르는 말.
불 없는 화로 딸 없는 사위,직접적인 인연이나 관계가 끊어져 쓸데없거나 긴요하지 않게 된 것을 비유적으로 이르는 말.
불 일 듯,어떤 형세가 빠르고 성하다.
불 차인 중놈 달아나듯,어디가 아픈지도 모르고 덮어놓고 고통스러워 날뛰는 모양을 비유적으로 이르는 말.
불구경 가는 게사니걸음,비쭉거리며 급히 걸어가는 모양을 비유적으로 이르는 말.
불난 강변에 덴 소 날뛰듯, 위급한 경우를 당하여 황망하게 날뛰는 사람이나 모양을 비유적으로 이르는 말.
불난 끝은 있어도 물 난 끝은 없다,불이 나면 타다 남은 물건이라도 있으나 수재를 당하여 물에 씻겨 내려가 버리면 아무것도 남지 않음을 비유적으로 이르는 말.
불난 데서 불이야 한다,"잘못을 저지른 사람이 그것을 가리기 위하여 남보다 먼저 떠들어 대는 경우를 비유적으로 이르는 말.,자기의 나쁜 일을 자기가 알리는 경우를 비유적으로 이르는 말."
불낸 놈이 불이야 한다,지은 죄를 숨기려고 한 짓이 도리어 죄를 드러내고 맒을 비유적으로 이르는 말.
불뚝성이 살인낸다,갑자기 불뚝하게 성을 내면 좋지 않은 큰일을 일으키게 됨을 비유적으로 이르는 말.
불붙는 데 키질하기,남의 재앙을 점점 더 커지도록 만들거나 성난 사람을 더욱 성나게 함을 비유적으로 이르는 말.
불알 밑이 근질근질하다,좀이 쑤셔 가만히 앉아 있지 못함을 비유적으로 이르는 말.
불을 즐기는 자는 불에 타 죽는다,침략 전쟁을 좋아하는 자는 침략 전쟁에서 망한다는 말.
불집을 건드리다,말썽이나 위험을 불러들이다.
불집을 일으키다,말썽을 일으키다.
불티가 날아오다,화나 화가 될 요소가 번져서 딴 곳에 미치어 오다.
비 맞은 장닭 같다,득의양양하던 사람이 맥없이 풀이 죽은 모양을 비유적으로 이르는 말.
비 맞은 중 담 모퉁이 돌아가는 소리,남이 알아듣지 못할 정도로 낮은 소리로 불평 섞인 말을 중얼거림을 비유적으로 이르는 말.
비 묻다,비가 내릴 수 있는 눅눅한 기운을 품다.
비 오기 전에 집이다, 미리 마련하거나 갖추었음을 비유적으로 이르는 말.
비 오는 날 나막신 찾듯,몹시 아쉬워서 찾는 모양을 비유적으로 이르는 말.
비 오는 날 낚시질하기, 때를 잘 선택하지 못하고 일을 벌여 놓는 경우를 비유적으로 이르는 말.
비 오는 날 소꼬리 같다,몹시 귀찮게 구는 것을 비유적으로 이르는 말.
비 오는 날 수탉 같다, 기세가 도도하던 존재가 풀이 죽어 볼품이 없는 경우를 비유적으로 이르는 말.
비 오는 날 장독 덮었다 , 당연히 할 일을 하고 유세하는 경우를 비꼬는 말.
비 오는 날 장독 열기,당치 않은 짓을 함을 비유적으로 이르는 말.
비 오듯,"화살, 총알 따위가 많이 날아오거나 떨어지다.,눈물이나 땀 따위가 줄줄 많이 쏟아지다."
비 온 뒤에 땅이 굳어진다, 어떤 시련을 겪은 뒤에 더 강해짐을 비유적으로 이르는 말.
비가 오나 눈이 오나,아무리 어려움이 있어도 언제나 한결같이.
비가 오면 모종하듯 조상의 무덤을 이장해라,"못난 짓을 많이 하는 사람에게, 부모의 산소를 비 오는 날 모종하듯 다른 곳으로 옮겨 앞으로는 조상의 산소를 잘못 써서 못난 자식이 나는 일이 없도록 하라고 핀잔하는 말."
비는 데는 무쇠도 녹는다,자기의 잘못을 잘 변명하고 사과하면 아무리 완고한 사람이라도 용서함을 비유적으로 이르는 말.
비는 장수 목 벨 수 없다,잘못을 뉘우치고 사과하면 용서하게 됨을 비유적으로 이르는 말.
비단 대단 곱다 해도 말같이 고운 것 없다,말이라는 것은 사람의 마음씨에 따라서 얼마든지 남의 마음을 움직이게 하는 가장 효과적인 수단임을 비유적으로 이르는 말.
비단 한 필을 하루에 짜려 말고 한 식구를 줄여라, 지출을 줄이는 것이 경제적으로 더 현명한 것임을 비유적으로 이르는 말.
비단이 한 끼라,"호화롭게 살다가도 구차하게 되면 아무리 귀중한 것도 밥 한 끼와 바꾸게 됨을 비유적으로 이르는 말.,한번 몰락하기 시작하면 걷잡을 수 없음을 비유적으로 이르는 말."
비렁뱅이 비단 얻은 것,자기 분수에 넘치는 것을 얻어 가지고 자랑함을 비웃는 말.
비를 드니까 마당을 쓸라 한다, 일을 하려고 하는 사람에게 쓸데없는 간섭을 해서 기분을 망쳐 놓는 경우를 비유적으로 이르는 말.
비린내 맡은 강아지 매 맞아 허리가 부러져도 뜨물통 앞에 가서 죽는다, 어떤 물건이나 지위 따위에 눈이 어두워지면 죽는 것도 아랑곳하지 않고 행동함을 비유적으로 이르는 말.
비싼 놈의 떡은 안 사 먹으면 그만이다,제가 하기 싫으면 하지 아니하면 그만임을 비유적으로 이르는 말.
비위 사납다,마음에 거슬리어 아니꼽다.
비위가 노래기 회 쳐 먹겠다, 아주 비위가 좋음을 비유적으로 이르는 말.
비위가 떡판에 가 넘어지겠다, 몹시 비위가 좋고 뻔뻔스러움을 비유적으로 이르는 말.
비할 바 없다,차이가 너무 커서 비길 데가 없다.
빈대도 낯짝이 있다,지나치게 염치가 없는 사람을 나무라는 말.
빈말이 랭수 한 그릇만 못하다, 말로만 하는 것보다는 실질적으로 도와주는 것이 훨씬 나음을 비유적으로 이르는 말.
빈천할 때 사귄 벗은 잊지 못한다,어려운 조건이나 생활 속에서 맺어진 벗이 매우 소중함을 비유적으로 이르는 말.
빌어먹는 놈이 이밥 조밥 가리랴, 자기가 아쉽거나 급히 필요한 일에는 좋고 나쁨을 가릴 겨를이 없음을 비유적으로 이르는 말.
빌어먹던 놈이 천지개벽을 해도 남의 집 울타리 밑을 엿본다,오래된 버릇은 갑자기 벗어나지 못함을 비유적으로 이르는 말.
빗자루론 개도 안 때린다,빗자루로 사람을 때릴 때 말리면서 하는 말.
빚 놓다,여러 사람에게 빚을 주다.
빚 주다,이자를 받기로 하고 돈을 꾸어 주다.
빚은 값으로나 떡이라지, 제 기능을 잘 못하는 물건을 아쉬운 대로 써야 하는 경우를 이르는 말.
빚쟁이 발을 뻗고 잠을 못 잔다, 남에게 빚을 진 사람은 늘 빚 갚을 일이 걱정되어 마음 편한 날이 없음을 비유적으로 이르는 말.
빛 좋은 개살구, 겉만 그럴듯하고 실속이 없는 경우를 비유적으로 이르는 말.
빛을 보다,업적이나 보람 따위가 드러나다.
빨래 이웃은 안 한다,빨래할 때 가까이 있으면 구정물이나 튀지 좋은 일은 없다는 말.
빨리 먹은 콩밥 똥 눌 때 보자 한다, 무슨 일이든 급히 서두르면 탈이 생김을 비유적으로 이르는 말.
뺨 맞는 데 구레나룻이 한 부조, 아무 소용 없는 듯한 물건이 뜻밖에 도움을 주게 됨을 비유적으로 이르는 말.
뺨 맞을 놈이 여기 때려라 저기 때려라 한다,죄를 지어 마땅히 벌을 받아야 할 사람이 처분을 기다리지 아니하고 도리어 제 좋을 대로 요구함을 비웃는 말.
뺨 잘 때리기는 나막신 신은 깍정이라, 되지 못하고 비열한 자가 도리어 잘난 체하며 남을 몹시 학대한다는 말.
뺨을 맞아도 은가락지 낀 손에 맞는 것이 좋다,이왕 꾸지람을 듣거나 벌을 받을 바에는 권위 있고 덕망 있는 사람에게 당하는 것이 나음을 비유적으로 이르는 말.
뼈 빠지게,오랫동안 육체적 고통을 견디어 내면서 힘겨운 일을 치러 나가는 것을 비유적으로 이르는 말.
뼈 속까지 들어차다,마음속 깊은 곳까지 들어차다.
뼈가 녹다,어렵거나 고된 일로 고생하다.
뼈가 휘도록,오랫동안 육체적 고통을 견디어 내면서 힘겨운 일을 치러 나가는 것을 비유적으로 이르는 말.
뼈대 있다,"문벌이 좋다.,심지가 굳고 줏대가 있다."
뼈도 못 추리다,죽은 뒤에 추릴 뼈조차 없을 만큼 상대와 싸움의 적수가 안 되어 손실만 보고 전혀 남는 것이 없다.
뼈를 긁어내다,마음속의 고통 따위가 몹시 심하다.
뼈를 깎다,몹시 견디기 어려울 정도로 고통스럽다.
뼈를 묻다,단체나 조직에 평생토록 헌신하다.
뼈를 아끼다,몸을 놀리고 힘들이는 것을 아끼다.
뼈만 남다,못 먹거나 심하게 앓거나 하여 지나치게 여위다.
뼈만 앙상하다,못 먹거나 심하게 앓거나 하여 지나치게 여위다.
뼈에 사무치다,원한이나 고통 따위가 뼛속에 파고들 정도로 깊고 강하다.
뼈와 살로 만들다,"경험, 사상, 이론 따위를 자기의 확고한 신념으로 만들다."
뼈와 살이 되다,정신적으로 도움이 되다.
뿌리 깊다,어떤 일이나 사물의 연유하는 바가 오래다.
뿌리 깊은 나무 가뭄 안 탄다, 무엇이나 근원이 깊고 튼튼하면 어떤 시련도 견뎌 냄을 비유적으로 이르는 말.
뿌리 빠지다,근원까지 없어져 아무것도 남는 것이 없게 되다.
사공이 많으면 배가 산으로 간다, 주관하는 사람 없이 여러 사람이 자기주장만 내세우면 일이 제대로 되기 어려움을 비유적으로 이르는 말.
사기 접시를 죽으로 엎칠 것 같다, 당장 어떤 큰일을 치를 듯이 들볶음을 비유적으로 이르는 말.
사기전에 종짓굽 맞추듯,틀림없고 영락없는 모양을 비유적으로 이르는 말.
사내 못난 것은 북문에 가 호강받는다,"조선 후기에, 아무리 못난 사내라도 서울의 북쪽에 있는 숙정문에만 가면 많은 부녀자로부터 추파를 받고 환대를 받았음을 이르는 말."
사내 상처 세 번 하면 대감 한 것만 하다,세 번이나 장가를 들게 되는 것은 대감 한 것만큼이나 대단한 호강임을 이르는 말.
사내가 어디 가나 옹솥하고 계집은 있다, 못난 남자라도 밥벌이와 아내는 얻게 됨을 이르는 말.
사내는 돈을 잘 써야 하고 녀편네는 물을 잘 써야 한다,남자는 밖에 나가서 사회적 활동을 잘해야 하고 여자는 집 안에서 살림살이를 잘해야 함을 이르는 말.
사내는 죽을 때 계집과 돈을 머리맡에 놓고 죽어라,남자가 늙어서는 아내와 돈이 있어야 된다는 말.
사내자식 길 나설 때 갈모 하나 거짓말 하나는 가지고 나서야 한다, 남자가 처세하려면 거짓말도 필요함을 이르는 말.
사냥 가는 데 총을 안 가지고 가는 것 같다,무슨 일을 하러 가면서 거기에 가장 긴요한 물건을 빠뜨리고 감을 비유적으로 이르는 말.
사돈 밤 바래기, 자꾸 반복하여 끝이 없음을 이르는 말.
사돈 잔치에 중이 참여한다, 연회나 기타의 장소에 전연 관계없는 사람이 끼어드는 경우를 비유적으로 이르는 말.
사돈이 물에 빠졌나 웃기는 왜 웃어,별로 우습지도 아니한 일에 실없이 잘 웃는 사람을 핀잔하는 말.
사돈집 외 먹기도 각각,집집마다 가풍이 다름을 비유적으로 이르는 말.
사돈집 잔치에 감 놓아라 배 놓아라 한다,남의 일에 공연히 간섭하고 나섬을 비유적으로 이르는 말.
사돈집과 뒷간은 멀수록 좋다,사돈집 사이에는 말이 나돌기 쉽고 뒷간은 고약한 냄새가 나므로 둘 다 멀리 있을수록 좋음을 이르는 말.
사또 덕에 비장이 호강한다, 남에게 붙어서 덕을 봄을 이르는 말.
사또 상의 장 종지,"변변치 아니한 것이 한가운데 중요한 자리를 차지하고 있음을 비유적으로 이르는 말.,요직에 있음을 비유적으로 이르는 말."
사람 밥 빌어먹는 구멍은 삼천 몇 가지,사람이 먹고살아 나가기 위한 생활 수단이 매우 다양함을 비유적으로 이르는 말.
사람 속은 천 길 물속이라,사람의 속마음을 알기란 매우 힘듦을 비유적으로 이르는 말.
사람 위에 사람 없고 사람 밑에 사람 없다,사람은 본래 태어날 때부터 권리나 의무가 평등함을 이르는 말.
사람 죽은 줄 모르고 팥죽 생각만 한다, 경우는 돌아보지 않고 먹을 궁리만 하는 경우를 비유적으로 이르는 말.
사람 칠 줄 모르는 것이 코피만 낸다, 서투른 일에 섣불리 나서다가는 큰코다치게 됨을 이르는 말.
사람과 산은 멀리서 보는 게 낫다,사람을 가까이 사귀면 멀리서 볼 때 안 보이던 결점이 다 드러나 실망하게 됨을 비유적으로 이르는 말.
사람과 쪽박은 있는 대로 쓴다, 사람도 다 제 나름대로 쓸모가 있음을 비유적으로 이르는 말.
사람마다 저 잘난 맛에 산다,남이야 어떻게 보든 사람은 다 자기가 잘났다는 긍지와 자존심이 있다는 것을 이르는 말.
사람마다 한 가지 버릇은 있다,사람은 누구나 한두 가지의 좋지 못한 버릇이 있음을 이르는 말.
사람은 헌 사람이 좋고 옷은 새 옷이 좋다,물건은 새것이 좋고 사람은 오래 사귀어 서로를 잘 알고 정분이 두터워진 사람이 좋다는 말.
사람의 눈은 속여도 땅은 속이지 못한다, 농사일이란 실속 있게 해야지 형식적으로 해서는 안 된다는 말.
사람의 속은 눈을 보아야 안다,"눈에는 그 사람의 마음이 그대로 반영되므로, 눈을 보면 그 사람의 속마음을 짐작할 수 있음을 이르는 말."
사람의 얼굴은 열 번 변한다,사람은 일생 동안에 모습이 많이 변한다는 것을 비유적으로 이르는 말.
사람의 혀는 뼈가 없어도 사람의 뼈를 부순다, 말이란 무서운 힘을 가지고 있음을 비유적으로 이르는 말.
사람이 곱나 일이 곱지, 일을 잘하는 사람을 칭찬하거나 일을 잘 못하는 사람을 비난할 때에 이르는 말.
사람이 궁할 때는 대 끝에서도 삼 년을 산다, 아무리 어려운 처지에 놓이더라도 사람은 스스로 살아 나갈 방도를 마련함을 비유적으로 이르는 말.
사람이 세상에 나면 저 먹을 것은 가지고 나온다,사람은 잘났든 못났든 누구나 다 살아 나갈 수 있는 방도를 가지고 있음을 비유적으로 이르는 말.
사람이 오래면 지혜요 물건이 오래면 귀신이다, 경험 많은 늙은이의 지혜로움을 비유적으로 이르는 말.
사람이 천 냥이면 눈이 팔백 냥이다,사람에게서 눈이 매우 중요함을 강조하여 이르는 말.
사모 쓴 도둑놈,갖가지 세금과 뇌물 따위로 남의 재물을 탐하는 벼슬아치나 양반을 욕하는 말.
사발에 든 고기나 잡겠다, 무능하여 일을 처리하기는커녕 주는 밥이나 겨우 찾아 먹는 사람을 놀림조로 이르는 말.
사성 가다,혼담이 결정되어 사주단자를 가지고 가다.
사성 보내다,혼담이 결정되어 사주단자를 적어 보내다.
사월 초파일 등 달리듯,물건이 조롱조롱 많이 매달린 모양을 비유적으로 이르는 말.
사위 반찬은 장모 눈썹 밑에 있다,장모는 사위를 대접하려고 보는 대로 찾아서 차려 주려 함을 비유적으로 이르는 말.
사위는 백 년 손이라, 사위는 장인ㆍ장모에게 언제나 소홀히 대할 수 없는 존재임을 비유적으로 이르는 말.
사위는 백 년 손이요 며느리는 종신 식구라, 며느리와 달리 사위는 장인ㆍ장모에게 언제나 소홀히 대할 수 없는 존재임을 비유적으로 이르는 말.
사위와 씨아는 먹어도 안 먹는다, 사위에 대한 처가의 사랑을 비유적으로 이르는 말.
사잣밥 싸 가지고 다닌다,언제 어디서 죽을지 모를 위험한 처지에 놓여 있음을 비유적으로 이르는 말.
사잣밥을 목에 매달고 다닌다,언제 어디서 죽을지 모를 위험한 처지에 놓여 있음을 비유적으로 이르는 말.
사족 못 쓰다,무슨 일에 반하거나 혹하여 꼼짝 못 하다.
사촌이 땅을 사면 배가 아프다,남이 잘되는 것을 기뻐해 주지는 않고 오히려 질투하고 시기하는 경우를 비유적으로 이르는 말.
사후 술 석 잔 말고 생전에 한 잔 술이 달다,"죽은 다음에 제사상에 이것저것 차리지 말고 살아 있는 동안에 한 가지라도 더 대접하라는 말.,눈앞에 부닥친 현실 문제를 해결하여 주는 것이 일이 다 틀어진 뒤에 쓸데없는 공을 들이며 애쓰는 것보다 중요함을 비유적으로 이르는 말."
사흘 굶어 아니 날 생각 없다,"몹시 굶게 되면 여러 가지 옳지 못한 생각도 들고, 못 할 일이 없게 됨을 이르는 말."
사흘 굶으면 양식 지고 오는 놈 있다, 사람이 아무리 어렵게 지내더라도 여간하여서는 굶어 죽지는 않음을 비유적으로 이르는 말.
사흘 굶으면 포도청의 담도 뛰어넘는다,아무리 착한 사람이라도 몹시 궁하게 되면 못하는 짓이 없게 됨을 비유적으로 이르는 말.
사흘 굶은 거지도 안 들어가겠다,먹을 것이 없는 너절하고 시시한 물건임을 비유적으로 이르는 말.
사흘 길 하루도 아니 가서,오래 두고 할 일에 처음부터 싫증을 내거나 배반하는 경우를 비유적으로 이르는 말.
사흘 길에 하루쯤 가서 열흘씩 눕는다," 일을 처음부터 너무 급히 서두르면 도리어 더디게 됨을 비유적으로 이르는 말.,성미가 게을러서 일을 도저히 이루지 못함을 비유적으로 이르는 말."
사흘 살고 나올 집이라도 백 년 앞을 보고 짓는다,무슨 일을 하든지 형식적으로 건성건성 할 것이 아니라 앞날을 생각하여 최선을 다하여야 함을 비유적으로 이르는 말.
사흘에 한 끼 입에 풀칠하기도 어렵다,늘 굶고 살 정도로 살림이 매우 가난함을 비유적으로 이르는 말.
사흘에 한 끼도 못 먹은 듯하다,사람이 초췌하여 풀이 죽고 기운이 없어 보임을 비유적으로 이르는 말.
삭단에 떡 맛보듯, 음식의 양이 너무 적어서 먹은 둥 만 둥 함을 비유적으로 이르는 말.
산  입에 거미줄 치랴, 아무리 살림이 어려워 식량이 떨어져도 사람은 그럭저럭 죽지 않고 먹고 살아가기 마련임을 비유적으로 이르는 말.
산 까마귀 염불한다, 무엇을 전혀 모르던 사람도 오랫동안 보고 듣노라면 제법 따라 할 수 있게 됨을 비유적으로 이르는 말.
산 넘어 산이다,갈수록 더욱 어려운 지경에 처하게 되는 경우를 비유적으로 이르는 말.
산 놈의 계집은 범도 안 물어 간다,외딴 산속에 사는 여자는 버릇도 없고 몹시 드세 만만치 않음을 비유적으로 이르는 말.
산 밖에 난 범이요 물 밖에 난 고기라," 의지할 곳을 잃어 옴짝달싹 못 하게 됨을 비유적으로 이르는 말.,자기 능력을 발휘할 수 없는 처지에 빠짐을 비유적으로 이르는 말."
산 설고 물 설다,타향이라서 모든 것이 매우 낯설고 서먹서먹하다.
산 좋고 물 좋고 정자 좋은 데 없다,자연의 경치와 인공의 운치가 모두 갖추어진 데는 없다는 말.
산 호랑이 눈썹도 그리울 게 없다, 모든 것이 다 갖추어져 있어 무엇 하나 아쉬운 것이 없음을 비유적으로 이르는 말.
산도 못 놓다,수량이 지나치게 적어 셈할 수도 없다.
산림도 청으로 하는 수가 있다,추천제로 오를 수 있는 자리에 자기가 스스로 청을 하며 돌아다녀서 강제로 추천을 받아 감을 비꼬는 말.
산보다 호랑이가 더 크다, 사리에 맞지 않음을 비유적으로 이르는 말.
산소 등에 꽃이 피었다, 자손이 번성하고 부귀공명하게 되었음을 비유적으로 이르는 말.
산엘 가야 꿩을 잡고 바다엘 가야 고기를 잡는다," 목적하는 방향을 제대로 잡아 노력하여야만 그 목적을 제대로 이룰 수 있음을 비유적으로 이르는 말.,무슨 일이든지 가만히 앉아 있어서는 이루어지지 않고 발 벗고 나서서 힘을 들여야 이루어짐을 비유적으로 이르는 말."
산으로 들어가다,"비합법적인 투쟁이나 유격전을 하기 위하여 산속으로 몸을 피하다.,승려가 되다."
산을 벗기다,산에 있는 나무를 다 베어 내다.
산이 높아야 골이 깊다, 품은 뜻이 높고 커야 품은 포부나 생각도 크고 깊음을 비유적으로 이르는 말.
산이 들썩한 끝에 쥐 새끼 한 마리라, 요란하게 일을 벌였으나 별로 신통한 결과를 얻지 못함을 비유적으로 이르는 말.
산이 우니 돌이 운다, 주관 없이 남이 하는 대로만 따라 행동함을 비유적으로 이르는 말.
산이 울면 들이 웃고 들이 울면 산이 웃는다, 우리나라의 산이 나무가 없이 벌거벗었음을 비유적으로 이르는 말.
산이라도 떠옮길 듯,기세가 몹시 드세고 힘이 넘치는 듯함을 이르는 말.
산중 놈 풋농사, 여름에는 잘된 듯 보이나 산짐승도 와서 뜯어 먹고 하여 추수할 때는 별 수확이 없게 되는 농사를 이르는 말.
산중 놈은 도끼질 야지 놈은 괭이질,사람은 각기 자신의 환경에 따라 하는 일이 다름을 비유적으로 이르는 말.
산호 서 말 진주 서 말 싹이 나거든,도저히 그 실현을 기약할 수 없음을 비유적으로 이르는 말.
살 가다,대수롭지 않은 일인데도 공교롭게 해를 입다.
살 구멍 뚫다,살아갈 길을 찾아내다.
살 깊다,몸의 어떤 부분에 살이 많이 붙어 있어서 살이 두껍다.
살 나가다,띠앗 없게 하는 기운이 떨어져 나가다.
살 내리다,"사람이나 물건 따위를 해치는 불길한 기운이 떨어져 나가다.,띠앗 없게 하는 기운이 떨어져 나가다."
살 맞은 뱀 같다,갑자기 몸을 빼고 달아나는 모양을 비유적으로 이르는 말.
살 박다,"흰떡 따위에 떡살로 무늬를 박다.,유달리 정성을 들이다."
살 박히다,독살이 나타나다.
살 붙다,"사람이나 물건 따위를 해치는 불길한 기운이 들러붙다.,띠앗 없게 하는 기운이 들러붙다."
살 붙이다,바탕에 여러 가지를 덧붙여 보태다.
살 세다,"일가친척 사이에 띠앗이 없다.,운수가 나쁘다."
살 오르다,"사람이나 물건 따위를 해치는 불길한 기운이 들러붙다.,띠앗 없게 하는 기운이 들러붙다."
살 잡다,기울어진 집 따위를 바로잡아 세우다.
살 잡히다,"구김살이 지다.,살얼음이 얼다."
살림에는 눈이 보배,"살림을 잘하려면 눈썰미가 있어야 한다는 말.,살림에는 낱낱이 살펴 보살피는 것이 제일이라는 말."
살림이 거덜이 나면 봄에 소를 판다, 생활이 쪼들려 막다른 처지에 이르게 되면 아무리 긴요한 물건이라도 꺼리지 않고 팔게 된다는 말.
살림이란 게 쓸 건 없어도 남 주워 갈 건 있다,하찮은 물건이라도 도둑이 집어 갈 것은 있기 마련이라는 말.
살손 붙이다,정성을 다하여 힘껏 하다.
살아날 사람은 약을 만난다,일이 잘될 사람은 불행한 처지에 있다가도 그 불행을 면할 수 있는 길이 열리기 마련임을 비유적으로 이르는 말.
살을 깎고 뼈를 갈다,몸이 야윌 만큼 몹시 고생하며 애쓰다.
