idiom,en_meaning
means to an end,"something that is done in order to achieve a particular result or goal, although it may not be enjoyable or ethical"
meat and potatoes,the essential or most important parts of something; the basic or fundamental aspects
meat and two veg,"""meat and two veg"" is a vulgar slang phrase that refers to a traditional British meal consisting of a main course of meat with two accompanying vegetables. However, it is often used as a euphemism to refer to male genitalia."
mecca for someone or something,a place or destination that is highly revered or sought after by someone or something
meet one's death,to die
meet someone halfway,to compromise; to make an effort to reach a mutually satisfactory agreement
meet your Waterloo,to experience a devastating defeat or failure
meet your maker,to die or encounter death
meet your match,"To find someone who is just as skilled or capable as oneself, often resulting in a challenging or evenly matched competition or confrontation."
mellow yellow,"relaxed, calm, and easygoing"
memory like a sieve,having a poor or unreliable memory
men in suits,"business professionals or corporate executives, often associated with formality or bureaucracy"
"men make houses, women make homes","men typically focus on the physical construction or maintenance of a house, while women tend to create a warm and nurturing environment within that house"
mend fences,to repair or improve a damaged or strained relationship; to reconcile or make peace
method to madness,an underlying logic or purpose behind seemingly chaotic or irrational behavior
method to my madness,an unconventional or seemingly illogical approach or plan that actually has a hidden purpose or systematic logic
middle of the road,"to have a moderate or centrist stance, or to avoid extreme views or positions"
miles away,deeply lost in thought or daydreaming; not mentally present or paying attention
miles to go before I sleep,have a long way to go before achieving a goal or reaching a desired outcome
mince pies,To tell lies or deceive someone
mind over matter,to use the power of one's mind to overcome physical challenges or difficulties
mind one's language,Be careful about what you say or how you speak
mind your own beeswax,to mind your own business; to not interfere in other people's affairs
mind your own business,to not interfere in someone else's affairs
minting it,to make a lot of money quickly or easily
minting money,to make a lot of money quickly and easily
misery loves company,"the tendency for unhappy or miserable people to seek out others who are also unhappy or miserable, often as a way to validate their own feelings or experiences"
miss the boat,to miss an opportunity or to be too late to take advantage of something
mister right,a perfect or ideal romantic partner
moment in the sun,"brief period of fame, recognition, or success"
moment of truth,the time when a person or thing is put to the test or faces a crucial decision or challenge
money doesn't grow on trees,money is not easily obtained or readily available
money for jam,easy money; effortless or easy income or profit
money for old rope,"Easy money, effortless profit, or a valuable return for minimal effort"
money spinner,a profitable or financially successful venture
money talks,financial influence or power is persuasive and influential
monkey business,foolish or mischievous behavior
"more haste, less speed","Doing something quickly and without care often results in mistakes or delays, so it is better to take one's time and be thorough."
more's the pity,unfortunately; it is a shame; it is regrettable
move heaven and earth,to do everything possible or go to great lengths in order to achieve or accomplish something
move mountains,to do something extraordinary or achieve something seemingly impossible
move the goalposts,to change the rules or requirements of a situation or agreement in order to make it more difficult for someone to succeed or achieve their goal
mrs mop,a woman who is responsible for cleaning and tidying up
much of a muchness,very similar or nearly identical
muddy the waters,to make a situation more confusing or complicated
mull over,to think deeply or carefully about something
mum's the word,to keep quiet or keep a secret
mumbo jumbo,Confusing or meaningless language; nonsense or gibberish
mums the word,to keep something a secret or to not speak about it
mum's the word,to keep quiet or to not reveal a secret or confidential information
music to ears,something that is pleasing or gratifying to hear; good news or information that brings joy or relief
music to someone's ears,something that is very pleasing or satisfying to someone
must have,widely believed or accepted to be true; highly probable or certain
mutt and Jeff,two people who are complete opposites in terms of appearance or personality
mutton dressed as lamb,"refers to an older woman who is dressed in a style more suitable for a younger woman, usually implying that she is trying too hard to appear younger or more attractive than she actually is"
my bad,acknowledging one's mistake or accepting responsibility for something that went wrong
my foot!,used to express disbelief or to indicate that something is completely untrue or ridiculous
my gut tells me,I have a strong intuition or feeling about something
my old Dutch,"a term of endearment or affection, often used to refer to a close friend or loved one"
my old china,slang for 'my dear friend' or 'my mate'
my two cents,"offering one's opinion or advice on a subject, often unsolicited"
my way or the highway,"an uncompromising attitude or approach, typically with little or no regard for others' opinions or preferences"
nail it,to successfully accomplish or achieve something
name is mud,to have a bad reputation or be highly discredited; to be viewed negatively or unfavorably
name names,to identify specific individuals or provide specific information or details about something
name the day,to set a date for a wedding or other significant event
nature abhors a vacuum,empty or unused spaces are unnatural and will always be filled or occupied by something
nature calls,to have the urge to use the bathroom
near the knuckle,to be close to being offensive or crossing a social boundary
necessary evil,something that is unpleasant but required or necessary
necessity is the mother of invention,Creativity and resourcefulness are often stimulated by a need or problem.
necessity knows no law,"when a desperate situation arises, people will do whatever is necessary, regardless of any rules or laws"
neck and neck,very close or even in a competition or race; with no clear leader
neck of the woods,a particular neighborhood or region; a specific area or vicinity
neither fish nor fowl,something or someone that does not belong to any specific group or category
neither here nor there,not relevant or important; of no consequence
nervous Nellie,a person who is easily anxious or worried
nest egg,money that has been saved or invested for the future
never in wildest dreams,something unexpected or beyond what one could have imagined or anticipated
never mind,to disregard or dismiss; to not pay attention or give importance to something
never say die,"to have a determined and never-give-up attitude, even in the face of challenges or setbacks"
never the twain shall meet,Two things or groups are so different that they cannot coexist or come together
never you mind,do not worry or be concerned about it; I will handle it or take care of it myself
never-never land,"a place or situation that is fanciful, unrealistic, or impossible to achieve or sustain"
new York minute,An extremely short amount of time or moment; something that happens very quickly.
new arrival,someone who has recently arrived or joined a group or organization
new blood,new members or fresh ideas that bring new energy or vitality to a group or organization
new kid on the block,"someone who is new to a particular area or group, often implying that they are inexperienced or unknown"
next of kin,closest living relative
next to nothing,almost nothing; a very small amount
nice as pie,"to be very pleasant, kind, or polite"
night and day,completely different or completely opposite
night owl,someone who stays up late at night or is most active during the evening hours
nine times out of ten,almost always or in the majority of cases
nine to five,"to work a typical full-time schedule, usually from 9 AM to 5 PM"
nip and tuck,an extremely close or closely contested competition or race
nitty gritty,the most important or basic aspects or details of a situation
nitty-gritty,the most important or essential details or aspects of something
no can do,Unable to do something; not possible
no comment,to decline to comment or provide information on a particular topic or issue
no dice,"to indicate refusal or rejection, often in response to a proposition or request"
no great shakes,not particularly impressive or remarkable
no holds barred,without any restrictions or limitations; unrestricted or unrestrained
no laughing matter,something that is serious or of great concern
no love lost,to have a mutual dislike or animosity towards each other
no man is an island,Everyone is connected to others and cannot thrive or survive in isolation.
no man's land,"an area or situation that is unclaimed, vague, or undefined, often representing a dangerous or uncertain space"
"no pain, no gain",Hard work and effort are necessary in order to achieve success or make progress.
no peace for the wicked,Constant troubles or difficulties that are believed to be a consequence of one's bad actions or behavior.
no questions asked,without any further inquiry or request for information; without any investigation or interrogation
no rest for the wicked,"constant work or activity, especially when one is considered guilty or deserving of punishment"
no room to swing a cat,very little space
no rush,no need to hurry or rush; there is no urgency
no saint,someone who is not perfect or morally upright; someone with flaws or faults
no smoke without fire,there is usually some truth or basis for a rumor or accusation
no spring chicken,someone who is not young anymore; someone who is not in their prime
no strings attached,without any conditions or expectations; with no obligations or commitments
no sweat,"an assurance that something can be done easily, without any difficulty"
no time like the present,to do something immediately rather than waiting for a more convenient or suitable time
no two ways about it,no possibility of seeing or doing it in any other way
no use to man or beast,completely useless or valueless
none of your business,not your concern or not something you need to know about
north and south,complete opposite directions or things; completely different or opposed
nose around,to snoop or pry into someone else's business or affairs without their permission
not a pretty sight,something that is unpleasant or unattractive to look at
not all there,mentally lacking or not mentally stable
not at all,"""definitely not"" or ""not in any way"""
not bat an eye,"show no reaction or emotion, especially in a situation where one might be expected to"
not bat an eyelid,"to not show any surprise, emotion, or reaction"
not be short of a bob or two,to have plenty of money or wealth
not come cheap,to be expensive or costly; to require a significant amount of money
not cricket,not fair or ethical
not cup of tea,Not one's preferred or favored thing or activity
not enough room to swing a cat,to describe a very small or cramped space
not for a minute,not at all; not even for a short period of time
not give a damn,to not care at all; to have no interest or concern
not give a fig,to not care at all; to have no concern or interest
not half bad,better than expected; pretty good
not have a cat in hell's chance,To have no chance at all; to have no hope of success
not have a leg to stand on,to have no evidence or argument to support one's position; to be unable to prove or justify something
not have a snowball's chance in hell,"to have no chance at all, to have no possibility of success"
not hold water,"to be illogical, inconsistent, or lacking in validity; to not be convincing or credible"
not hurt a fly <br/>,"to be very gentle or nonviolent, not capable of harming anyone or anything"
not hurt a fly or flea,To be extremely gentle and harmless
not in a million years,something that will never happen; an event or outcome that is extremely unlikely
not just a pretty face,"not just someone who is attractive, but also intelligent or capable in other ways"
not know you are born,to be ignorant or unappreciative of how fortunate one is
not miss a trick,"to be very observant, alert, or attentive; to not overlook or miss any details or opportunities"
not much cop,not very good or impressive; not of high quality
not on your life,Absolutely not; never; under no circumstances
not playing with a full deck,to be mentally impaired or lacking in intelligence or common sense
not the sharpest tool in the shed,not very intelligent; lacking in intelligence
not to be sneezed at,worthy of attention or consideration; not to be disregarded or underestimated
not to put too fine a point on it,to speak directly and honestly without sugarcoating or beating around the bush
not worth the candle,not worth the effort or cost involved
nothing doing,there is no chance or possibility of something happening; it is not going to happen
nothing is certain but death and taxes,there are only two things that are inevitable or guaranteed in life
nothing to it,very easy or simple
nothing to sneeze at,something that is significant or important; not to be underestimated
nothing to write home about,not particularly impressive or noteworthy
now and then,occasionally; from time to time
now or never,"an opportunity that must be seized immediately, as it may not come again"
now you're talking,now you're making a good point or suggestion
nudge nudge wink wink,"to make an indirect reference or suggestion, often with a secretive or salacious undertone"
nurse someone back to health,to care for and help someone recover from an illness or injury
nuts and bolts,the practical or fundamental aspects of something; the basic details or components
nutty as a fruitcake,to be crazy or eccentric
oceans of,an abundance of; a large amount of
odd duck,an eccentric or unconventional person
odd one out,"to be different or not belong to a group, set, or pattern"
odds and ends,"various small, scattered, or miscellaneous items or tasks"
of a certain age,"to be at a specific age, typically indicating someone who is older or past their prime"
of advanced age,old; elderly
of age,reaching the age when a person is legally considered an adult or mature
of the first water,of the finest quality or highest degree; excellent or outstanding
off and on,occurring intermittently or not consistently
off and running,to start or begin something energetically and successfully
off on the wrong foot,to start a relationship or project in a problematic or unpleasant way
off one's rocker,to be crazy or mentally unstable
off the beaten track,away from the usual or popularly traveled routes; in a remote or less common location
off the cuff,to speak or perform without any preparation or rehearsal
off the hook,freed from responsibility or obligation
off the mark,incorrect or inaccurate
off the record,not for publication or public knowledge; unofficial or confidential
off the shelf,readily available; not custom-made or specially ordered
off the top of your head,"to give or provide an answer or response quickly, without taking the time to think or research"
off the wall,"strange, unconventional, or bizarre"
off your rocker,being crazy or mentally unstable
oh! Shoot,expression of mild annoyance or frustration
oil and water,two things or people that are fundamentally incompatible or do not mix well
old as the hills,very old or ancient
old chestnut,"a joke, story, or idea that has been repeated so often that it is no longer funny or interesting"
old hat,"outdated or no longer interesting; something that is considered to be too familiar, common, or overused"
old wives' tale,"an old, traditional belief or story that is now considered to be untrue or based on superstition"
on a full stomach,after eating a meal; when one is not hungry
on a hiding to nothing,engaging in a task or endeavor that is bound to fail or have no chance of success
on a roll,experiencing a series of successes or good fortune; in a period of continued progress or achievement
on a shoestring,to have a very limited budget or resources; to operate with minimal funds
on a silver platter,to have something handed to you easily or without effort
on a wing and a prayer,trying to achieve something with very little chance or hope of success
on all fours,to be on hands and knees
on and off,intermittently; periodically; not consistently; in a sporadic or irregular manner
on board,"involved or participating in a particular activity, project, or group"
on cloud nine,to be extremely happy or joyful
on cue,at the precise moment or at the appropriate time
on doorstep,very close or nearby; imminent or likely to happen soon
on edge,"feeling nervous, anxious, or irritable"
on ice,postponed or put aside; not currently being worked on or dealt with
on in years,old; advanced in age
on one's uppers,having little or no money; impoverished
on paper,"based on what is written or planned, rather than what actually happens or is true"
on pins and needles,feeling very anxious or nervous; in a state of suspense or anticipation
on someone's mind,occupying someone's thoughts or preoccupying someone
on tenterhooks,"feeling anxious or nervous, especially while waiting for something uncertain or important to happen"
on the back burner,"to be put aside or delayed, often in favor of more urgent or important matters"
on the back of,"""as a result of"" or ""because of"""
on the ball,"to be alert, attentive, and quick to respond or react"
on the blink,not functioning properly; experiencing a temporary malfunction
on the bounce,to be experiencing a series of successes or positive outcomes
on the brink of,about to happen; on the verge of
on the button,at exactly the right time or in exactly the right way
on the cards,likely to happen or be true; probable
on the carpet,being reprimanded or called to account for something
on the case,actively investigating or working on a situation or problem
on the crest of a wave,experiencing a period of great success or happiness
on the cuff,to buy something on credit or without paying immediately
on the dot,exactly at a specified time; punctual
on the double,to hurry or move quickly
on the face of it,"based on initial appearances or evidence, without deeper analysis or consideration"
on the fence,undecided; not able to choose between two options
on the fiddle,"engaging in dishonest or fraudulent activities, especially for personal gain"
on the flip side,referring to the opposite or contrasting aspect of a situation or argument
on the fly,"doing something quickly or on the spot, without much preparation or planning"
on the game,engaging in prostitution
on the hoof,improvised or done quickly; without careful planning or preparation
on the hop,being constantly busy or on the move; having to act quickly or adapt to changes
on the horizon,likely to happen or appear soon
on the horn,talking on the telephone
on the horns of a dilemma,to be faced with a difficult choice between two equally unfavorable options
on the house,"provided or given for free, without charge"
on the knocker,to pay for something immediately or in cash when it is delivered or completed
on the lam,To be on the run or fleeing from the authorities
on the level,"trustworthy, honest, or sincere"
on the make,"actively seeking personal gain or advancement, often in a somewhat aggressive or opportunistic manner"
on the mend,recovering or improving after an illness or injury
on the money,Correct or accurate; exactly right
on the nod,accepted or agreed without question or debate
on the nose,exactly right; precise; to the point
on the other hand,to introduce an alternative or contrasting viewpoint or perspective
on the pull,actively seeking romantic or sexual partners
on the qui vive,being on high alert or watchful for something
on the rebound,"entering into a new relationship or situation shortly after the end of a previous one, often as a way to cope with or get over the previous one"
on the record,officially stated or documented; publicly acknowledged
on the rocks,in a state of difficulty or trouble; experiencing problems or challenges
on the ropes,being in a very difficult or precarious situation; being close to defeat or failure
on the run,trying to evade capture or avoid being caught; constantly moving from place to place in an attempt to avoid detection or arrest
on the same page,having a shared understanding or being in agreement with someone
on the same wavelength,to have a similar way of thinking or understanding
on the shelf,"no longer wanted or required, especially in terms of being unmarried or without a romantic partner"
on the side of the angels,supporting or advocating for what is morally right or just
on the skids,in decline or experiencing difficulties
on the spur of the moment,doing something without planning or thinking ahead; spontaneously
on the square,"honest, fair, and straightforward"
on the stump,making political speeches or campaigning
on the table,under consideration or up for discussion
on the take,"involved in corrupt or illegal activities, particularly accepting bribes or kickbacks"
on the tip of one's tongue,Something that is almost remembered but not quite; something that one is very close to saying or recalling
on the trot,to continuously do something without a break; in quick succession
on the up and up,honest; trustworthy; legitimate
on the wagon,to stop drinking alcohol or engaging in a particular addiction
on the warpath,to be angry or outraged and ready to confront or attack someone or something
on thin ice,being in a risky or precarious situation where one's actions or decisions could have negative consequences or lead to trouble
on top of the world,extremely happy or successful
on your Tod,To be alone
on your high horse,acting superior or condescending
on your mark,to be ready or prepared to start something
on your soapbox,"expressing one's opinions loudly and forcefully, often with a sense of self-importance"
on your toes,"being alert, vigilant, or ready for action"
once and for all,finally and decisively; to resolve or settle something permanently
"once bitten, twice shy",to be cautious or wary of something after having a negative experience with it
once in a blue moon,very rarely or hardly ever
once in a while,occasionally; not very often
one and the same,"identical or exactly the same thing, no difference"
one cannot love and be wise,one cannot be in love and think logically or make rational decisions
one for the road,one last drink before leaving
one good turn deserves another,an act of kindness should be reciprocated with another act of kindness
one in the eye for,an unexpected setback or defeat for someone
one of a kind,unique and incomparable
one of those days,Refers to a day where everything seems to go wrong or is particularly difficult or frustrating
one of those things,something that cannot be easily explained or understood; a situation or event that is accepted as inevitable or unavoidable
one over the eight,to be slightly drunk or intoxicated
one stop shop,a place or service that provides all the necessary items or services in one location or from one source
one's word is law,to have absolute authority or control; to be in a position of power where one's decisions or commands must be obeyed
one-horse race,"An event or competition in which one participant or outcome is significantly more dominant or likely to win than all others, making the final result predictable or unexciting"
one-off,something that is unique or only happens once
only time will tell,the outcome or truth will become clear in the future
open someone's eyes,to make someone aware or understand something that they were previously unaware of
open the floodgates,"to allow a large amount of something, such as information or emotions, to flow freely and uncontrollably"
open warfare,"a situation or conflict in which there is no restraint or compromise, and all parties are openly and aggressively combating each other"
other half,one's spouse or romantic partner
out and about,To be active or moving around in a particular place or in general
out cold,completely unconscious or deeply asleep
out of action,not functional or able to be used
out of business,no longer operating or functioning as a business
out of kilter,not working or functioning correctly; out of balance or alignment
out of line,behaving inappropriately or not following the expected standards or rules
out of order,not functioning correctly or according to the usual rules or order
out of pocket,not having any money; having out-of-pocket expenses; unavailable
out of sight,"something or someone that is extremely impressive, exceptional, or amazing"
"out of sight, out of mind",Something or someone that is not seen or heard from is easily forgotten or ignored
out of sorts,feeling unwell or not quite oneself
out of the blue,unexpectedly or without warning
out of the box,unconventional or innovative; thinking or approaching something in a new or different way
out of the closet,"to openly reveal or acknowledge one's true beliefs, identity, or preferences, especially in regards to sexual orientation"
out of the frying pan and into the fire,going from a bad or difficult situation to an even worse one
out of the frying pan into the fire,to go from a bad or difficult situation to an even worse one
out of the loop,not having information about something
out of the picture,no longer involved or relevant in a situation or plan
out of the question,impossible or not allowed; not a possibility
out of the running,no longer in contention or competition; having no chance of winning or being successful
out of the woods,to be out of danger or difficulty; to have escaped a challenging situation
out of thin air,to appear or happen suddenly or seemingly from nothing
out of this world,extraordinary; remarkable; fantastic
out of whack,not working or functioning properly; out of order
out of your mind,to be crazy or insane
out on a limb,to be in a risky or vulnerable position
out on the town,going out to enjoy the nightlife and entertainment of a city
out to lunch,mentally or physically absent or distracted; not paying attention
over and above,additional to what is expected or required; in addition to
over and out,"to end a conversation or communication, often used in radio or military contexts"
over and over again,repeatedly
over my dead body,"absolutely not, under no circumstances"
over my dead body,an expression used to strongly express opposition or defiance
over my head,not understanding something; beyond one's comprehension
over the counter,available for purchase without a prescription; informal or unofficial
over the hill,past one's prime; getting older or aging
over the moon,extremely happy or delighted
over the top,excessive or exaggerated; beyond what is considered reasonable or normal
over your head,"to not understand something, usually because it is too complex or difficult"
over-egg the pudding,"to overdo or exaggerate something, typically for effect or to make it more appealing"
own accord,voluntarily or without being influenced by others; by one's own decision or choice
pack a punch,to have a strong impact or be forceful
pack a wallop,to have a powerful or forceful impact
packed like sardines,"to be packed tightly together, with very little space between people or objects"
paddle one's own canoe,to be self-reliant and independent; to take care of one's own affairs
paddle own canoe,to be self-reliant or independent; to take care of oneself
paddle your own canoe,to be self-reliant; to take responsibility for one's own actions and decisions
page-turner,an exciting or gripping book that is difficult to put down
pain in the a../neck,someone or something that is annoying or bothersome
pain in the neck,someone or something that is annoying or bothersome
paint something with a broad brush,to generalize or stereotype something or someone without considering individual differences or nuances
paint the town red,"to go out and enjoy oneself by engaging in a lively and extravagant manner, often involving partying and indulgence"
paper over the cracks,"to hide or gloss over problems or difficulties, especially in order to maintain a superficial appearance of harmony or order"
par for the course,typical; to be expected; nothing out of the ordinary
part company,to go separate ways or end a relationship or association
part of the furniture,to be so familiar or ingrained in a place or situation that one is often overlooked or taken for granted
partner up,to join forces or work together with someone as a team or partnership
party animal,someone who enjoys going to parties and socializing
party hearty,to enjoy oneself and have a great time at a party or celebration; to celebrate or enjoy in a lively and enthusiastic manner
pass away,to die
pass muster,to meet the required standard or expectation; to be deemed acceptable or satisfactory
pass the buck,to shift the responsibility or blame to someone else
pass the hat around,"To collect money from a group of people, typically for a shared purpose or cause"
pass the time of day,to engage in casual conversation or exchange pleasantries
pass the torch,"to transfer responsibility, authority, or a role from one person to another"
pat on the back,to show approval or recognition for someone's achievements or efforts
patience of Job,to have exceptional patience or endurance
patient as Job,"To be extremely patient or enduring, especially in the face of adversity"
pay dearly,to suffer significant consequences or pay a high price for something
pay it forward,"to do something kind or helpful for someone without expecting anything in return, with the hope or expectation that they will do something kind or helpful for someone else"
pay lip service,"To express support or agreement with something verbally, but not actually taking any meaningful action or making any real commitment to it"
pay the piper,to face the consequences of one's actions or decisions
pay through the nose,to pay an excessive amount of money for something
pay your dues,to put in the necessary hard work or effort in order to achieve success or gain recognition
peaches and cream,"to describe a situation that is enjoyable, pleasant, or ideal"
peachy keen,excellent; great; perfect; all is well
pearly whites,"to refer to someone's teeth, specifically used to describe a person's white and healthy-looking teeth."
pecking order,"the hierarchical system or ranking of power, authority, or dominance within a group or organization"
pedal to the metal,to drive or work at full speed or maximum effort
peed off,to be extremely angry or annoyed
peeping Tom,"someone who secretly watches other people, especially when they are getting undressed or having sex, in order to get sexual pleasure"
peeping tom,"someone who spies on others in a voyeuristic way, especially by watching them undress or engage in sexual activity without their consent"
peg out,to die or pass away
pen and ink,"to write or sign something, typically a legal document"
penny for your thoughts,to ask someone what they are thinking about
pep talk,an inspirational or motivational speech or conversation aimed at boosting someone's morale or confidence
per se,by or in itself; intrinsically
perfect pitch,the ability to accurately recognize or produce musical tones or notes
perish the thought,used to dismiss or reject a thought or idea as being unthinkable or undesirable.
phone it in,to do something with minimal effort or enthusiasm
photo bomb,"to unexpectedly appear in a photo being taken, usually by standing in the background and intentionally drawing attention away from the main subject"
pick holes,to find flaws or criticize something
pick of the bunch,the best or most desirable item from a selection
pick someone's brain,"to ask someone for advice, information, or their opinion on a particular topic"
pick someone's brains,"to ask someone for advice or information about a particular topic, typically because they are knowledgeable or experienced in that area"
pick up the pieces,to recover and move on after a difficult or challenging situation
pick up the tab,"to pay for something, especially when others were expecting to pay or share the cost"
picture of (good) health,to appear to be in very good health or physical condition
picture of health,to be in excellent health; to appear healthy and well
picture paints a thousand words,An image or visual representation can convey a message or meaning more effectively than words alone.
pie in the sky,something that is unrealistic or unlikely to happen
piece of cake,something that is very easy or simple
piece of writing,"written work or composition, such as an essay or article"
pig in a poke,to buy or accept something without knowing its true nature or value
pig out,eat excessively; indulge in a large amount of food
pigs can fly,something that is impossible or highly unlikely to happen
pigs ear,a mess or something that has been done very badly
pigs might fly,used to express disbelief or skepticism about something happening or being possible
pin money,extra money for small expenses or personal use
pipe down,to become quiet or stop talking
piping hot,"very hot, freshly cooked or baked"
piss and vinegar,"having a lot of energy, enthusiasm, or aggression"
pissed off,extremely annoyed or angry
pitch in,to contribute or help out; to do one's part or share in a task or effort
place in the sun,To have a position of importance or influence; to achieve recognition or success.
plain Jane,"a person, especially a woman, who is plain or unattractive in appearance"
plain as a pikestaff,very clear or obvious
plain sailing,an easy and smooth experience or journey
plan B,"an alternative plan or option, typically used when the original plan fails or is not feasible"
plates of meat,feet
play Devil's advocate,to take a contrary or opposing position on an issue or argument for the sake of stimulating discussion or challenging others' opinions
play a joke,to prank or tease someone for amusement
play away from home,to have a romantic or sexual relationship with someone other than one's partner while away from home
play ball,to cooperate or participate; to be willing to work together
play cat and mouse,"to engage in a game of wits or strategy, typically where one person is teasing or deceiving another"
play devil's advocate,to present a contrary or opposing argument or viewpoint for the sake of discussion or to test the strength of an argument
play fast and loose,to behave in an irresponsible or unpredictable manner
play for keeps,To engage in a competition or activity with serious or permanent consequences; to be committed and determined to win or succeed.
play for time,to use tactics or actions to delay or stall for more time
play games,"to deceive, manipulate, or play mind games with someone"
play gooseberry,"to be an unwelcome third person in a social situation, particularly when two people are romantically involved"
play hard to get,to act uninterested or aloof in order to make oneself more desirable
play hardball with someone,"to be tough, aggressive, or uncompromising in dealing with someone in a competitive situation"
play hookey,to skip school or work without permission or excuse
play into someone's hands,to do something that unintentionally helps someone else or furthers their interests
play it by ear,"to make decisions or take actions spontaneously or as the situation develops, without having a specific plan or strategy"
play it cool,"to remain calm, composed, or nonchalant, especially in a challenging or stressful situation"
play it safe,to take cautious or conservative actions in order to avoid risks or potential harm
play possum,to pretend to be asleep or dead in order to deceive or avoid danger
play safe,"to take caution or avoid unnecessary risks, especially in order to ensure one's own safety or success"
play second fiddle,to be in a subordinate or supporting role; to take a less important or prominent position
play silly buggers,engage in foolish or deceptive behavior
play the field,to date or have romantic or sexual relationships with multiple people without committing to any one person
play to the gallery,to behave or perform in a way that will gain approval or support from a popular audience or majority
play with fire,to take unnecessary risks or engage in dangerous activities that may have negative consequences
playing second fiddle,to take a subordinate or supporting role; to be in a position of lesser importance or influence
pleased as punch,extremely pleased or proud
poacher turned gamekeeper,someone who used to do something dishonest or illegal but now works to prevent others from doing it
poetic justice,the fitting or deserved retribution for one's actions
poetry in motion,graceful or fluid movement; someone or something that moves with elegance and beauty
point blank,"to say something directly, without beating around the bush; to be straightforward and blunt"
point out,To draw attention to something; to indicate or identify something
point the finger,to blame or accuse someone
poison pill,"an action or strategy that is intended to harm or disadvantage someone or something, often as a way to prevent a takeover or undesirable outcome"
poke one's nose in,to interfere or intrude in someone else's business or affairs
pommy bashing,criticism or mockery of British people or British culture
poor as a church mouse,to be extremely poor or have no money
poor little rich girl,someone who appears to have everything they could want but who is not happy
pop the question,to propose marriage
porky pies,lies; false information
possession is nine points of the law,Whoever physically possesses an item is presumed to be the rightful owner
pot calling the kettle black,hypocritical reproach; accusing someone of a fault or action that one is guilty of themselves
potatoes (or taters) in the mould,"There is no known English idiom ""potatoes (or taters) in the mould""."
potty mouth,"a person who frequently uses vulgar, obscene, or profane language"
pound the pavement,"To search for a job, especially by going to various places and making inquiries"
pour cold water on,to discourage or dampen enthusiasm for something
pour oil on troubled waters,to calm or soothe a tense or difficult situation
poverty is no sin,Being poor is not a moral fault or a shameful thing
poverty is not a crime,Being poor is not a punishable offense or something to be ashamed of
power behind the throne,"the person or group that has the real power and controls a ruler or leader, especially in a secret or unofficial way"
practice makes perfect,repeating an activity or skill over time leads to improvement and mastery
practise what you preach,to consistently act in accordance with one's own advice or beliefs
preach to the choir,to try to persuade or convince someone who already agrees with you or supports your cause
presence of mind,the ability to think and act quickly and effectively in a difficult or stressful situation
present company excepted,"to exclude oneself from a criticism, judgment, or negative comment that is being made about a particular group or category of people"
press the flesh,"to shake hands or engage in physical contact, especially for social or political purposes"
press the panic button,to become extremely anxious or panicked in a challenging or difficult situation
pressed for time,having a limited amount of time available; feeling rushed or under pressure due to lack of time
prick ears up,to listen attentively or with heightened interest
prick of conscience,feelings of guilt or remorse for something that one has done
prick up ears,to pay close attention or become suddenly interested in something that has been said or heard
prick up your ears,to suddenly become very attentive or interested in something
prodigal son,"someone who has returned after a period of absence, often having caused trouble or disappointment, and is now welcomed back"
prop up the bar,"to stand or sit at a bar for an extended period of time, often drinking alcohol"
public enemy number one,The most wanted or despised person or group in a particular context.
pull a face,to make a funny or displeased facial expression
pull a fast one,to deceive or trick someone in a clever or sneaky way
pull a rabbit out of a hat,"To produce something unexpectedly and impressively, often in a challenging or difficult situation"
pull a rabbit out of the hat,"to do something unexpected or impressive, especially in a difficult or challenging situation"
pull in one's horns,"to become more cautious, reserved, or moderate in one's actions or behavior"
pull leg,"to tease or joke with someone, often in a lighthearted or playful manner"
pull out all the stops,to make a great effort or to use all available resources in order to achieve something
pull rank,to use one's position or authority in order to gain an advantage or exercise control over others
pull somebody's leg,to tease or deceive someone in a playful way
pull someone's leg,To tease or trick someone in a playful way
pull someone's leg,"to tease or joke with someone, often by pretending something that is not true"
pull strings,to use one's influence or connections to manipulate a situation or get what one wants
pull the other leg,to express disbelief or skepticism about something that has been said or claimed
pull the other one,to not believe what someone is saying; to think that someone is joking or lying
pull the plug,"to stop or discontinue something, especially suddenly or abruptly"
pull the wool over eyes,to deceive or mislead someone
pull the wool over someone's eyes,to deceive or trick someone by hiding the truth or one's true intentions
pull the wool over someones eyes,to deceive or trick someone; to make someone believe something that is not true
pull up stakes,"to leave or move away from a place, usually with the intention of starting fresh elsewhere"
pull your horns in,"to become less arrogant, aggressive, or confrontational; to become more modest or restrained in one's behavior"
pull your punches,"to not use full force or effort; to hold back or restrain in some way, particularly in expressing criticism or delivering a blow"
pull your weight,to do your fair share of work or contribute equally to a group effort
pull yourself together,"to regain control of oneself, especially in a difficult or stressful situation"
pulling my leg,to tease or joke with someone in a playful manner
pulling your leg,To tease or jokingly deceive someone
pump iron,to engage in weightlifting or strength training
puppy love,to describe the intense but shallow romantic feelings that often occur between young people
pure and simple,plain and straightforward; without any additional complexity or hidden motive
push someone's buttons,to intentionally provoke or irritate someone
push the boat out,to spend a lot of money or make an extravagant effort for a special occasion
push the envelope,to go beyond the usual limits or boundaries; to take risks or be innovative in order to achieve a desired outcome
push the panic button,to react with extreme worry or fear in a situation
pushing up the daisies,to be dead
put a damper on,"to discourage, hinder, or spoil something, usually by suppressing enthusiasm or excitement"
